14:38:12.946 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - Driver is Initilize
14:38:14.007 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - Navigated to homePage
14:38:35.418 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - At customization page>> >>Buzzer for final factile is on from customization
14:42:22.535 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_45 - Driver is Initilize
14:42:23.398 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_45 - Navigated to homePage
14:42:44.996 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_45 - At customization page>> >>Buzzer for final factile is on from customization
16:17:11.676 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Driver is Initilize
16:17:13.225 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Navigated to homePage
16:17:39.361 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - At customization page>> >>Buzzer for final factile is on from customization
16:27:53.147 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
16:27:54.733 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
16:28:20.419 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
16:33:59.961 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - Driver is Initilize
16:34:01.557 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - Navigated to homePage
16:34:23.714 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - At customization page>> >>Buzzer for final factile is on from customization
16:38:16.503 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
16:38:18.023 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
16:38:40.881 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
16:44:18.926 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Driver is Initilize
16:44:20.590 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Navigated to homePage
16:44:43.455 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - At customization page>> >>Buzzer for final factile is on from customization
16:54:07.330 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - Driver is Initilize
16:54:08.791 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - Navigated to homePage
16:54:30.965 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - At customization page>> >>Buzzer for final factile is on from customization
16:59:36.675 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Driver is Initilize
16:59:38.277 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Navigated to homePage
17:00:00.421 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - At customization page>> >>Buzzer for final factile is on from customization
19:05:16.070 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Driver is Initilize
19:05:17.150 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Navigated to homePage
19:05:39.599 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - At customization page>> >>Buzzer for final factile is on from customization
19:18:36.791 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Driver is Initilize
19:18:39.084 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Navigated to homePage
19:19:04.399 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - At customization page>> >>Buzzer for final factile is on from customization
19:23:34.617 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - Driver is Initilize
19:23:35.950 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - Navigated to homePage
19:24:05.916 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_47 - At customization page>> >>Buzzer for final factile is on from customization
11:37:11.154 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
11:37:12.283 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
11:37:34.109 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
11:41:21.393 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
11:41:22.118 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
11:41:45.248 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
11:45:20.855 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - Driver is Initilize
11:45:21.659 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - Navigated to homePage
11:45:43.397 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - At customization page>> >>Buzzer for final factile is on from customization
16:55:37.347 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_39 - Driver is Initilize
16:55:38.299 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_39 - Navigated to homePage
17:02:01.889 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_39 - Driver is Initilize
17:02:02.632 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_39 - Navigated to homePage
17:05:40.084 [TestNG-test=Verify_same_game_running_by_two_moderaters-2] INFO  Factile_Mode.DGBP_HSB_TestCase_39 - Driver is Initilize
