13:24:06.763 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
13:24:07.633 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
13:24:30.435 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
13:27:33.091 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
13:27:33.921 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
13:27:56.923 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
13:37:28.509 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
13:37:30.392 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
13:37:50.877 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
13:47:00.229 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
13:47:01.120 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
13:47:23.776 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
13:58:55.002 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
13:58:55.893 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
13:59:17.486 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
14:10:14.530 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
14:10:15.409 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
14:10:37.961 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
14:25:25.522 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
14:25:26.410 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
14:25:48.284 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
14:36:11.995 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
14:36:12.952 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
14:36:35.598 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
14:54:27.760 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
14:54:28.596 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
14:54:52.117 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
15:08:22.308 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
15:08:23.217 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
15:09:07.324 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Allow multiple team to answer is checked at global setting
15:30:24.935 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
15:30:25.950 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
15:30:50.665 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Users Can Join Buzzer Mode after Game Begins is checked
15:36:11.585 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
15:36:12.301 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
15:36:33.163 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Users Can Join Buzzer Mode after Game Begins is checked
15:40:26.675 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
15:40:27.513 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
15:40:48.667 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Users Can Join Buzzer Mode after Game Begins is checked
15:48:18.257 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
15:48:19.197 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
15:48:40.365 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Users Can Join Buzzer Mode after Game Begins is checked
15:59:02.729 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
15:59:03.871 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
15:59:25.292 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Users Can Join Buzzer Mode after Game Begins is checked
16:12:41.626 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Driver is Initilize
16:12:45.567 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - Navigated to homePage
16:13:07.057 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_26 - At customization page>> >>Users Can Join Buzzer Mode after Game Begins is checked
