14:25:37.762 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
14:25:38.844 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
14:26:00.567 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
14:27:57.553 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
14:27:58.253 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
14:28:19.642 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
14:33:53.881 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
14:33:54.806 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
14:34:16.049 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
14:55:30.935 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
14:55:33.060 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
14:56:00.082 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
15:05:19.040 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
15:05:20.861 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
15:07:29.256 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
15:14:01.144 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
15:14:02.803 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
15:15:05.366 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
15:20:29.174 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
15:20:32.257 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
15:20:54.978 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
15:46:04.520 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
15:46:05.510 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
15:47:11.149 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
15:47:12.881 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
15:48:31.852 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
15:55:34.095 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
15:55:34.980 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
15:55:58.890 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
16:10:41.467 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
16:10:42.280 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
16:11:26.134 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
16:21:08.095 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
16:21:08.847 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
16:21:30.127 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
16:27:19.084 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
16:27:19.913 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
16:27:41.066 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
16:33:12.228 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
16:33:13.534 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
16:33:37.618 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
18:54:49.067 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Driver is Initilize
18:54:53.767 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - Navigated to homePage
18:55:17.794 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_48 - At customization page>> >>Buzzer for final factile is on from customization
18:59:27.468 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
18:59:28.757 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
18:59:55.107 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
19:03:41.167 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
19:03:41.852 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
19:04:03.608 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
