13:49:57.727 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
13:50:21.513 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
14:20:18.297 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
14:20:24.068 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
14:20:49.069 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
14:37:18.003 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
14:37:23.274 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
14:37:51.269 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
14:46:06.239 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
14:46:11.968 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
14:46:36.449 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
14:52:47.552 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
14:52:51.797 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
14:53:17.883 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
15:05:28.307 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
15:05:32.747 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
15:05:57.973 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
15:31:30.037 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
15:31:33.794 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
15:31:56.728 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
15:45:25.093 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
15:45:43.857 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
15:46:26.490 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
15:58:16.121 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
15:58:21.761 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
15:58:48.813 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
16:09:30.799 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
16:09:48.566 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
16:10:33.858 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
16:14:30.807 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
16:14:46.462 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
16:15:22.561 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
16:35:29.047 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
16:35:44.074 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
16:38:31.228 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
16:38:47.286 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
16:39:21.210 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
16:47:38.918 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
16:47:52.557 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
16:48:36.285 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
17:30:38.457 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
17:30:52.514 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
17:31:25.579 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
17:58:12.685 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
17:58:17.932 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
17:58:42.727 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
18:08:59.559 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
18:09:00.565 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
18:10:57.005 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
