20:21:58.070 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_49 - Navigated to homePage
20:22:47.846 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_49 - At customization page>> >>Buzzer for final factile is on from customization
11:30:25.463 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_51 - Driver is Initilize
11:30:26.196 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_51 - Navigated to homePage
11:30:48.317 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_51 - At customization page>> >>Buzzer for final factile is on from customization
11:52:13.195 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
11:52:13.843 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
11:52:35.432 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
12:03:47.422 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
12:03:48.289 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
12:04:11.030 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
12:11:24.312 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
12:11:25.552 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
12:11:49.064 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
12:18:12.502 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
12:18:13.819 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
12:18:38.080 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
12:23:10.206 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
12:23:11.033 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
12:23:33.262 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
12:27:59.606 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
12:28:04.090 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
12:28:26.973 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
13:02:59.722 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
13:03:00.546 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
13:03:23.204 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
13:06:49.776 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
13:06:50.664 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
13:07:53.489 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
13:14:04.794 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Driver is Initilize
13:14:09.019 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - Navigated to homePage
13:14:31.176 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_52 - At customization page>> >>Buzzer for final factile is on from customization
13:35:16.313 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
13:35:17.067 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
13:35:38.292 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
13:39:24.633 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
13:39:25.360 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
13:39:46.992 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
14:16:49.214 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Driver is Initilize
14:16:50.128 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Navigated to homePage
14:17:12.649 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - At customization page>> >>Buzzer for final factile is on from customization
14:21:12.573 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Driver is Initilize
14:21:13.702 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - Navigated to homePage
14:21:35.883 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_46 - At customization page>> >>Buzzer for final factile is on from customization
14:29:57.959 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
14:29:58.951 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
14:30:28.176 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
14:34:15.630 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
14:34:16.698 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
14:34:38.534 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
