16:49:20.008 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
16:49:21.019 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
19:37:47.239 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
19:37:48.011 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
19:38:17.418 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
20:08:22.623 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
20:08:23.517 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
20:08:49.570 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
10:19:35.850 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
10:19:36.752 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
10:20:03.491 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
14:00:12.689 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
14:00:14.475 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
14:00:40.931 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
14:09:20.120 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
14:09:21.700 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
14:09:49.587 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
14:21:48.135 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
14:21:49.803 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
14:22:17.436 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
14:26:55.136 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
14:26:56.736 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
14:27:46.087 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
14:40:19.570 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_28 - Driver is Initilize
14:40:21.516 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_28 - Navigated to homePage
14:41:04.606 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_28 - At customization page>> >>Users Can Join Buzzer Mode after Game Begins is Unchecked
15:39:48.713 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
15:39:49.629 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
15:40:18.706 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
15:50:27.843 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
15:51:16.544 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
15:52:27.508 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
16:07:55.148 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
16:07:56.881 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
16:12:02.629 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
16:12:03.782 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
16:12:30.612 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
16:32:34.652 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
16:32:35.692 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
16:33:02.401 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
16:52:09.916 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_31 - Driver is Initilize
16:52:11.031 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_31 - Navigated to homePage
16:53:05.951 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_31 - At customization page>> >>Buzzer for final factile is on from customization
17:47:26.390 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_31 - Driver is Initilize
17:47:27.324 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_31 - Navigated to homePage
17:47:49.982 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_31 - At customization page>> >>Buzzer for final factile is on from customization
17:57:59.571 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
17:58:00.315 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Navigated to homePage
17:58:26.241 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - At customization page>> >>Enter answer for buzz is active from customization
19:11:21.677 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_32 - Driver is Initilize
